Dialogue_ID,Utterance_ID,Speaker,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Sentiment,DA,Utterance
dialogue-0000,dialogue-0000-000,語者一,high,high,high,high,high,negative,other,您好，不好意思系統這裡沒有查到您的訂位資訊
dialogue-0000,dialogue-0000-001,語者一,high,high,high,high,high,neutral,other,想請問您昨天是否有接到訂位確認的電話呢？
dialogue-0000,dialogue-0000-002,語者二,high,high,high,high,high,neutral,other,你好，我沒有接到電話欸
dialogue-0000,dialogue-0000-003,語者二,high,high,high,high,high,neutral,other,但我確定我上週有在 inline 上訂位呀
dialogue-0000,dialogue-0000-004,語者一,high,high,high,high,high,neutral,other,還是您有沒有可能是訂錯時間了呢？
dialogue-0000,dialogue-0000-005,語者二,high,high,high,high,high,neutral,other,我確認一下
dialogue-0000,dialogue-0000-006,語者二,high,high,high,high,high,negative,other,好怪為啥網站上寫我的訂位被取消了
dialogue-0000,dialogue-0000-007,語者二,high,high,high,high,high,negative,other,但我訂的時間是現在沒有錯啊
dialogue-0000,dialogue-0000-008,語者一,high,high,high,high,high,neutral,other,那應該是因為您沒有接到確認電話
dialogue-0000,dialogue-0000-009,語者一,high,high,high,high,high,neutral,other,我們的規定是如果沒有接到電話的話就會自動取消訂位
dialogue-0000,dialogue-0000-010,語者二,high,high,high,high,high,negative,other,但我就只是剛好沒接到電話而已欸
dialogue-0000,dialogue-0000-011,語者一,high,high,high,high,high,negative,other,不好意思，因為這是公司的規定，我們也沒辦法
dialogue-0000,dialogue-0000-012,語者二,high,high,high,high,high,neutral,other,那這樣現在現場還有座位嗎
dialogue-0000,dialogue-0000-013,語者一,high,high,high,high,high,neutral,other,目前現場候位都已經滿了哦
dialogue-0000,dialogue-0000-014,語者一,high,high,high,high,high,neutral,other,可能要麻煩您排隊等訂位沒來的客人
dialogue-0000,dialogue-0000-015,語者二,high,high,high,high,high,negative,other,好吧
dialogue-0000,dialogue-0000-016,語者二,high,high,high,high,high,negative,other,那我留個電話吧
dialogue-0000,dialogue-0000-017,語者二,high,high,high,high,high,negative,other,但我覺得你們這樣的訂位制度好像有點不妥
dialogue-0000,dialogue-0000-018,語者二,high,high,high,high,high,negative,other,希望之後你們可以有更好的調整
dialogue-0000,dialogue-0000-019,語者一,high,high,high,high,high,neutral,other,謝謝您
dialogue-0000,dialogue-0000-020,語者一,high,high,high,high,high,negative,other,但不好意思公司一直以來都是這樣規定的
dialogue-0000,dialogue-0000-021,語者一,high,high,high,high,high,negative,other,這點我們真的無能為力
dialogue-0000,dialogue-0000-022,語者二,high,high,high,high,high,negative,other,好吧那就這樣吧
dialogue-0000,dialogue-0000-023,語者二,high,high,high,high,high,negative,other,我去附近逛逛，有位子你會打給我對吧
dialogue-0000,dialogue-0000-024,語者一,high,high,high,high,high,neutral,other,對的，謝謝您的光臨
dialogue-0001,dialogue-0001-000,語者一,high,high,high,high,high,neutral,other,先生你好 這裡沒有查到你的訂位資料欸
dialogue-0001,dialogue-0001-001,語者一,high,high,high,high,high,neutral,other,想請問你是在網路上訂位的嗎
dialogue-0001,dialogue-0001-002,語者二,high,high,high,high,high,neutral,other,對啊我是在網路上訂位的
dialogue-0001,dialogue-0001-003,語者一,high,high,high,high,high,neutral,other,還是方便請您給我看一下訂位系統的資料嗎
dialogue-0001,dialogue-0001-004,語者二,high,high,high,high,high,neutral,other,好你等我一下
dialogue-0001,dialogue-0001-005,語者二,high,high,high,high,high,neutral,other,欸我好像訂成下禮拜的了...
dialogue-0001,dialogue-0001-006,語者一,high,high,high,high,high,neutral,other,了解，那這樣的話可能就要麻煩您現場候位唷
dialogue-0001,dialogue-0001-007,語者一,high,high,high,high,high,neutral,other,目前前面有大約五六組客人
dialogue-0001,dialogue-0001-008,語者二,high,high,high,high,high,negative,other,哇好吧
dialogue-0001,dialogue-0001-009,語者二,high,high,high,high,high,negative,other,這樣大概會等多久啊
dialogue-0001,dialogue-0001-010,語者一,high,high,high,high,high,neutral,other,我覺得大概是一小時左右
dialogue-0001,dialogue-0001-011,語者二,high,high,high,high,high,negative,other,好像有點太久了
dialogue-0001,dialogue-0001-012,語者二,high,high,high,high,high,negative,other,那沒關係還是我就下禮拜再來好了
dialogue-0001,dialogue-0001-013,語者一,high,high,high,high,high,neutral,other,還是說因為您這裡算是特殊情況，我幫你優先安排座位好了
dialogue-0001,dialogue-0001-014,語者一,high,high,high,high,high,neutral,other,但麻煩您下次要再注意一下訂位時間的確認哦
dialogue-0001,dialogue-0001-015,語者二,high,high,high,high,high,positive,other,真的嗎！太謝謝你了！
dialogue-0001,dialogue-0001-016,語者二,high,high,high,high,high,positive,other,那我跟我的家人說一聲，他們在外面停車
dialogue-0001,dialogue-0001-017,語者一,high,high,high,high,high,positive,other,好的沒問題，那稍等我就帶您入座
dialogue-0001,dialogue-0001-018,語者二,high,high,high,high,high,positive,other,好！真的是很感謝你
dialogue-0001,dialogue-0001-019,語者一,high,high,high,high,high,positive,other,不會不會，那如果併桌的話您這邊可以接受嗎？
dialogue-0001,dialogue-0001-020,語者一,high,high,high,high,high,neutral,other,因為今天假日客人較多
dialogue-0001,dialogue-0001-021,語者二,high,high,high,high,high,positive,other,沒問題，有位子我們就很開心了
dialogue-0001,dialogue-0001-022,語者一,high,high,high,high,high,positive,other,好的！那這裡是您的桌號牌
